"PassengerId","Survived","Pclass","Name","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked"
"173","1","3","Johnson, Miss. Eleanor Ileen","female","1","1","1","347742","11.1333","","S"
"174","0","3","Sivola, Mr. Antti Wilhelm","male","21","0","0","STON/O 2. 3101280","7.925","","S"
"175","0","1","Smith, Mr. James Clinch","male","56","0","0","17764","30.6958","A7","C"
"176","0","3","Klasen, Mr. Klas Albin","male","18","1","1","350404","7.8542","","S"
"177","0","3","Lefebre, Master. Henry Forbes","male","","3","1","4133","25.4667","","S"
"178","0","1","Isham, Miss. Ann Elizabeth","female","50","0","0","PC 17595","28.7125","C49","C"
"179","0","2","Hale, Mr. Reginald","male","30","0","0","250653","13","","S"
"180","0","3","Leonard, Mr. Lionel","male","36","0","0","LINE","0","","S"
"181","0","3","Sage, Miss. Constance Gladys","female","","8","2","CA. 2343","69.55","","S"
"182","0","2","Pernot, Mr. Rene","male","","0","0","SC/PARIS 2131","15.05","","C"
"183","0","3","Asplund, Master. Clarence Gustaf Hugo","male","9","4","2","347077","31.3875","","S"
"184","1","2","Becker, Master. Richard F","male","1","2","1","230136","39","F4","S"
"185","1","3","Kink-Heilmann, Miss. Luise Gretchen","female","4","0","2","315153","22.025","","S"
"186","0","1","Rood, Mr. Hugh Roscoe","male","","0","0","113767","50","A32","S"
"187","1","3","O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)","female","","1","0","370365","15.5","","Q"
"188","1","1","Romaine, Mr. Charles Hallace (""Mr C Rolmane"")","male","45","0","0","111428","26.55","","S"
"189","0","3","Bourke, Mr. John","male","40","1","1","364849","15.5","","Q"
"190","0","3","Turcin, Mr. Stjepan","male","36","0","0","349247","7.8958","","S"
"191","1","2","Pinsky, Mrs. (Rosa)","female","32","0","0","234604","13","","S"
"192","0","2","Carbines, Mr. William","male","19","0","0","28424","13","","S"
"193","1","3","Andersen-Jensen, Miss. Carla Christine Nielsine","female","19","1","0","350046","7.8542","","S"
"194","1","2","Navratil, Master. Michel M","male","3","1","1","230080","26","F2","S"
"195","1","1","Brown, Mrs. James Joseph (Margaret Tobin)","female","44","0","0","PC 17610","27.7208","B4","C"
"196","1","1","Lurette, Miss. Elise","female","58","0","0","PC 17569","146.5208","B80","C"
"197","0","3","Mernagh, Mr. Robert","male","","0","0","368703","7.75","","Q"
"198","0","3","Olsen, Mr. Karl Siegwart Andreas","male","42","0","1","4579","8.4042","","S"
"199","1","3","Madigan, Miss. Margaret ""Maggie""","female","","0","0","370370","7.75","","Q"
"200","0","2","Yrois, Miss. Henriette (""Mrs Harbeck"")","female","24","0","0","248747","13","","S"
"201","0","3","Vande Walle, Mr. Nestor Cyriel","male","28","0","0","345770","9.5","","S"
"202","0","3","Sage, Mr. Frederick","male","","8","2","CA. 2343","69.55","","S"
"203","0","3","Johanson, Mr. Jakob Alfred","male","34","0","0","3101264","6.4958","","S"
"204","0","3","Youseff, Mr. Gerious","male","45.5","0","0","2628","7.225","","C"
"205","1","3","Cohen, Mr. Gurshon ""Gus""","male","18","0","0","A/5 3540","8.05","","S"
"206","0","3","Strom, Miss. Telma Matilda","female","2","0","1","347054","10.4625","G6","S"
"207","0","3","Backstrom, Mr. Karl Alfred","male","32","1","0","3101278","15.85","","S"
"208","1","3","Albimona, Mr. Nassef Cassem","male","26","0","0","2699","18.7875","","C"
"209","1","3","Carr, Miss. Helen ""Ellen""","female","16","0","0","367231","7.75","","Q"
"210","1","1","Blank, Mr. Henry","male","40","0","0","112277","31","A31","C"
"211","0","3","Ali, Mr. Ahmed","male","24","0","0","SOTON/O.Q. 3101311","7.05","","S"
"212","1","2","Cameron, Miss. Clear Annie","female","35","0","0","F.C.C. 13528","21","","S"
"213","0","3","Perkin, Mr. John Henry","male","22","0","0","A/5 21174","7.25","","S"
"214","0","2","Givard, Mr. Hans Kristensen","male","30","0","0","250646","13","","S"
"215","0","3","Kiernan, Mr. Philip","male","","1","0","367229","7.75","","Q"
"216","1","1","Newell, Miss. Madeleine","female","31","1","0","35273","113.275","D36","C"
"217","1","3","Honkanen, Miss. Eliina","female","27","0","0","STON/O2. 3101283","7.925","","S"
"218","0","2","Jacobsohn, Mr. Sidney Samuel","male","42","1","0","243847","27","","S"
"219","1","1","Bazzani, Miss. Albina","female","32","0","0","11813","76.2917","D15","C"
"220","0","2","Harris, Mr. Walter","male","30","0","0","W/C 14208","10.5","","S"
"221","1","3","Sunderland, Mr. Victor Francis","male","16","0","0","SOTON/OQ 392089","8.05","","S"
"222","0","2","Bracken, Mr. James H","male","27","0","0","220367","13","","S"
"223","0","3","Green, Mr. George Henry","male","51","0","0","21440","8.05","","S"
"224","0","3","Nenkoff, Mr. Christo","male","","0","0","349234","7.8958","","S"
"225","1","1","Hoyt, Mr. Frederick Maxfield","male","38","1","0","19943","90","C93","S"
"226","0","3","Berglund, Mr. Karl Ivar Sven","male","22","0","0","PP 4348","9.35","","S"
"227","1","2","Mellors, Mr. William John","male","19","0","0","SW/PP 751","10.5","","S"
"228","0","3","Lovell, Mr. John Hall (""Henry"")","male","20.5","0","0","A/5 21173","7.25","","S"
"229","0","2","Fahlstrom, Mr. Arne Jonas","male","18","0","0","236171","13","","S"
"230","0","3","Lefebre, Miss. Mathilde","female","","3","1","4133","25.4667","","S"
"231","1","1","Harris, Mrs. Henry Birkhardt (Irene Wallach)","female","35","1","0","36973","83.475","C83","S"
"232","0","3","Larsson, Mr. Bengt Edvin","male","29","0","0","347067","7.775","","S"
"233","0","2","Sjostedt, Mr. Ernst Adolf","male","59","0","0","237442","13.5","","S"
"234","1","3","Asplund, Miss. Lillian Gertrud","female","5","4","2","347077","31.3875","","S"
"235","0","2","Leyson, Mr. Robert William Norman","male","24","0","0","C.A. 29566","10.5","","S"
"236","0","3","Harknett, Miss. Alice Phoebe","female","","0","0","W./C. 6609","7.55","","S"
"237","0","2","Hold, Mr. Stephen","male","44","1","0","26707","26","","S"
"238","1","2","Collyer, Miss. Marjorie ""Lottie""","female","8","0","2","C.A. 31921","26.25","","S"
"239","0","2","Pengelly, Mr. Frederick William","male","19","0","0","28665","10.5","","S"
"240","0","2","Hunt, Mr. George Henry","male","33","0","0","SCO/W 1585","12.275","","S"
"241","0","3","Zabour, Miss. Thamine","female","","1","0","2665","14.4542","","C"
"242","1","3","Murphy, Miss. Katherine ""Kate""","female","","1","0","367230","15.5","","Q"
"243","0","2","Coleridge, Mr. Reginald Charles","male","29","0","0","W./C. 14263","10.5","","S"
"244","0","3","Maenpaa, Mr. Matti Alexanteri","male","22","0","0","STON/O 2. 3101275","7.125","","S"
"245","0","3","Attalah, Mr. Sleiman","male","30","0","0","2694","7.225","","C"
"246","0","1","Minahan, Dr. William Edward","male","44","2","0","19928","90","C78","Q"
"247","0","3","Lindahl, Miss. Agda Thorilda Viktoria","female","25","0","0","347071","7.775","","S"
"248","1","2","Hamalainen, Mrs. William (Anna)","female","24","0","2","250649","14.5","","S"
"249","1","1","Beckwith, Mr. Richard Leonard","male","37","1","1","11751","52.5542","D35","S"
"250","0","2","Carter, Rev. Ernest Courtenay","male","54","1","0","244252","26","","S"
"251","0","3","Reed, Mr. James George","male","","0","0","362316","7.25","","S"
"252","0","3","Strom, Mrs. Wilhelm (Elna Matilda Persson)","female","29","1","1","347054","10.4625","G6","S"
"253","0","1","Stead, Mr. William Thomas","male","62","0","0","113514","26.55","C87","S"
"254","0","3","Lobb, Mr. William Arthur","male","30","1","0","A/5. 3336","16.1","","S"
"255","0","3","Rosblom, Mrs. Viktor (Helena Wilhelmina)","female","41","0","2","370129","20.2125","","S"
"256","1","3","Touma, Mrs. Darwis (Hanne Youssef Razi)","female","29","0","2","2650","15.2458","","C"
"257","1","1","Thorne, Mrs. Gertrude Maybelle","female","","0","0","PC 17585","79.2","","C"
"258","1","1","Cherry, Miss. Gladys","female","30","0","0","110152","86.5","B77","S"
"259","1","1","Ward, Miss. Anna","female","35","0","0","PC 17755","512.3292","","C"
"260","1","2","Parrish, Mrs. (Lutie Davis)","female","50","0","1","230433","26","","S"
"261","0","3","Smith, Mr. Thomas","male","","0","0","384461","7.75","","Q"
"262","1","3","Asplund, Master. Edvin Rojj Felix","male","3","4","2","347077","31.3875","","S"
"263","0","1","Taussig, Mr. Emil","male","52","1","1","110413","79.65","E67","S"
"264","0","1","Harrison, Mr. William","male","40","0","0","112059","0","B94","S"
"265","0","3","Henry, Miss. Delia","female","","0","0","382649","7.75","","Q"
"266","0","2","Reeves, Mr. David","male","36","0","0","C.A. 17248","10.5","","S"
"267","0","3","Panula, Mr. Ernesti Arvid","male","16","4","1","3101295","39.6875","","S"
"268","1","3","Persson, Mr. Ernst Ulrik","male","25","1","0","347083","7.775","","S"
"269","1","1","Graham, Mrs. William Thompson (Edith Junkins)","female","58","0","1","PC 17582","153.4625","C125","S"
"270","1","1","Bissette, Miss. Amelia","female","35","0","0","PC 17760","135.6333","C99","S"
"271","0","1","Cairns, Mr. Alexander","male","","0","0","113798","31","","S"
"272","1","3","Tornquist, Mr. William Henry","male","25","0","0","LINE","0","","S"
"273","1","2","Mellinger, Mrs. (Elizabeth Anne Maidment)","female","41","0","1","250644","19.5","","S"
"274","0","1","Natsch, Mr. Charles H","male","37","0","1","PC 17596","29.7","C118","C"
"275","1","3","Healy, Miss. Hanora ""Nora""","female","","0","0","370375","7.75","","Q"
"276","1","1","Andrews, Miss. Kornelia Theodosia","female","63","1","0","13502","77.9583","D7","S"
"277","0","3","Lindblom, Miss. Augusta Charlotta","female","45","0","0","347073","7.75","","S"
"278","0","2","Parkes, Mr. Francis ""Frank""","male","","0","0","239853","0","","S"
"279","0","3","Rice, Master. Eric","male","7","4","1","382652","29.125","","Q"
"280","1","3","Abbott, Mrs. Stanton (Rosa Hunt)","female","35","1","1","C.A. 2673","20.25","","S"
"281","0","3","Duane, Mr. Frank","male","65","0","0","336439","7.75","","Q"
"282","0","3","Olsson, Mr. Nils Johan Goransson","male","28","0","0","347464","7.8542","","S"
"283","0","3","de Pelsmaeker, Mr. Alfons","male","16","0","0","345778","9.5","","S"
"284","1","3","Dorking, Mr. Edward Arthur","male","19","0","0","A/5. 10482","8.05","","S"
"285","0","1","Smith, Mr. Richard William","male","","0","0","113056","26","A19","S"
"286","0","3","Stankovic, Mr. Ivan","male","33","0","0","349239","8.6625","","C"
"287","1","3","de Mulder, Mr. Theodore","male","30","0","0","345774","9.5","","S"
"288","0","3","Naidenoff, Mr. Penko","male","22","0","0","349206","7.8958","","S"
"289","1","2","Hosono, Mr. Masabumi","male","42","0","0","237798","13","","S"
"290","1","3","Connolly, Miss. Kate","female","22","0","0","370373","7.75","","Q"
"291","1","1","Barber, Miss. Ellen ""Nellie""","female","26","0","0","19877","78.85","","S"
"292","1","1","Bishop, Mrs. Dickinson H (Helen Walton)","female","19","1","0","11967","91.0792","B49","C"
"293","0","2","Levy, Mr. Rene Jacques","male","36","0","0","SC/Paris 2163","12.875","D","C"
"294","0","3","Haas, Miss. Aloisia","female","24","0","0","349236","8.85","","S"
"295","0","3","Mineff, Mr. Ivan","male","24","0","0","349233","7.8958","","S"
"296","0","1","Lewy, Mr. Ervin G","male","","0","0","PC 17612","27.7208","","C"
"297","0","3","Hanna, Mr. Mansour","male","23.5","0","0","2693","7.2292","","C"
"298","0","1","Allison, Miss. Helen Loraine","female","2","1","2","113781","151.55","C22 C26","S"
